"Indicator Name"
"Access to electricity (% of population)"
"Adjusted net savings, excluding particulate emission damage (% of GNI)"
"Adjusted net savings, excluding particulate emission damage (current US$)"
"Adjusted net savings, including particulate emission damage (% of GNI)"
"Adjusted net savings, including particulate emission damage (current US$)"
"Adjusted savings: carbon dioxide damage (% of GNI)"
"Adjusted savings: carbon dioxide damage (current US$)"
"Adjusted savings: consumption of fixed capital (% of GNI)"
"Adjusted savings: consumption of fixed capital (current US$)"
"Adjusted savings: education expenditure (% of GNI)"
"Adjusted savings: education expenditure (current US$)"
"Adjusted savings: energy depletion (% of GNI)"
"Adjusted savings: energy depletion (current US$)"
"Adjusted savings: gross savings (% of GNI)"
"Adjusted savings: mineral depletion (% of GNI)"
"Adjusted savings: mineral depletion (current US$)"
"Adjusted savings: net forest depletion (% of GNI)"
"Adjusted savings: net forest depletion (current US$)"
"Adjusted savings: net national savings (% of GNI)"
"Adjusted savings: net national savings (current US$)"
"Adjusted savings: particulate emission damage (% of GNI)"
"Adjusted savings: particulate emission damage (current US$)"
"Agricultural methane emissions (% of total)"
"Agricultural methane emissions (thousand metric tons of CO2 equivalent)"
"Agricultural nitrous oxide emissions (% of total)"
"Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)"
"Bird species, threatened"
"Cereal production (metric tons)"
"CO2 emissions (kg per 2005 US$ of GDP)"
"CO2 emissions (kg per 2011 PPP $ of GDP)"
"CO2 emissions (kg per PPP $ of GDP)"
"CO2 emissions (kt)"
"CO2 emissions (metric tons per capita)"
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)"
"CO2 emissions from gaseous fuel consumption (% of total)"
"CO2 emissions from gaseous fuel consumption (kt)"
"CO2 emissions from liquid fuel consumption (% of total)"
"CO2 emissions from liquid fuel consumption (kt)"
"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)"
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)"
"CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)"
"CO2 emissions from solid fuel consumption (% of total)"
"CO2 emissions from solid fuel consumption (kt)"
"CO2 emissions from transport (% of total fuel combustion)"
"CO2 intensity (kg per kg of oil equivalent energy use)"
"Coal rents (% of GDP)"
"Disaster risk reduction progress score (1-5 scale; 5=best)"
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
"Electricity production from oil, gas and coal sources (% of total)"
"Electricity production from renewable sources, excluding hydroelectric (% of total)"
"Electricity production from renewable sources, excluding hydroelectric (kWh)"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"Energy related methane emissions (% of total)"
"Fish species, threatened"
"Forest area (% of land area)"
"Forest area (sq. km)"
"Forest rents (% of GDP)"
"GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)"
"GHG net emissions/removals by LUCF (Mt of CO2 equivalent)"
"HFC gas emissions (thousand metric tons of CO2 equivalent)"
"Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)"
"Land area where elevation is below 5 meters (% of total land area)"
"Mammal species, threatened"
"Marine protected areas (% of territorial waters)"
"Methane emissions (kt of CO2 equivalent)"
"Methane emissions in energy sector (thousand metric tons of CO2 equivalent)"
"Mineral rents (% of GDP)"
"Natural gas rents (% of GDP)"
"Nitrous oxide emissions (thousand metric tons of CO2 equivalent)"
"Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)"
"Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions)"
"Oil rents (% of GDP)"
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
"PFC gas emissions (thousand metric tons of CO2 equivalent)"
"Plant species (higher), threatened"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
"Population living in areas where elevation is below 5 meters (% of total population)"
"Renewable electricity output (% of total electricity output)"
"Renewable energy consumption (% of total final energy consumption)"
"SF6 gas emissions (thousand metric tons of CO2 equivalent)"
"Terrestrial and marine protected areas (% of total territorial area)"
"Terrestrial protected areas (% of total land area)"
"Total natural resources rents (% of GDP)"
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)"
